FID;CODIGO;FASES;COOR_GPS_LON;COOR_GPS_LAT;CAPACIDAD_NOMINAL;MUNICIPIO;CIRCUITO;UBICACION;PROPIETARIO_1;TIPO
39555800;S-2356;RST;-75,80402253;4,61745864;100;QUIMBAYA;304-27-;FCA EL SALMAN VDA KERMAN- QUIMBAYA - KERMAN - QUIM;EDEQ;S
37112081;S-614;RST;-75,62942428;4,657904255;100;CIRCASIA;307-24-;VR LA CONCHA GRANJA PORCICOLA MEMBRILLAL;EDEQ;S
39656198;S-287;RST;-75,65002473;4,520191324;200;CALARCÁ;208-25-;BA VERACRUZ MZ B CS 19;EDEQ;S
40026748;S-1136;RST;-75,76184431;4,560879158;200;MONTENEGRO;303-23-;VR BARAYA FC HERMITA;EDEQ;S
39400438;S-2395;RST;-75,6978453;4,517797233;200;ARMENIA;110-25-;FRENTE A URB. LA VILLA;EDEQ;S
39597788;S-2383;RST;-75,64111632;4,469024324;100;CALARCÁ;205-24-;VDA LA PALOMA FCA EL JAZMIN;EDEQ;S
39282094;S-1975;RST;-75,84381525;4,537970929;100;MONTENEGRO;303-23-;VR EL CUZCO FC EL CENTAVO;EDEQ;S
43318315;S-2012;RST;-75,81128167;4,481643271;100;MONTENEGRO;101-26-;VR EL PRADO FC EL PRADO;EDEQ;S
46191480;S-2420;RT;-75,82265964;4,512342602;100;MONTENEGRO;111-24-;;PARTICULAR;S
39453526;S-1066;RST;-75,68536207;4,388567632;100;CÓRDOBA;206-22-;CL 15 11 45;EDEQ;S
43231820;S-2367;RST;-75,66677486;4,546209447;100;ARMENIA;113-23-;FTE ROMPOY BOMBEROS CRA 19;EDEQ;S
46386799;S-2444;RST;-75,70651499;4,542138678;100;ARMENIA;114-23-;;PARTICULAR;S
37170003;S-2331;RST;-75,63300833;4,611875;100;CIRCASIA;307-23-;VIA A CIRCASIA AURORA BOREAL;EDEQ;S
39458529;S-648;RST;-75,74600115;4,546584557;100;MONTENEGRO;114-25-;INICIO RAMAL HCIA FC PINARES;EDEQ;S
31133866;S-1993;RS;-75,88511831;4,414623491;100;LA TEBAIDA;101-25-;VR ALAMBRADO FC LA BALSORA;EDEQ;S
30636803;S-2165;RST;-75,68782246;4,459494935;100;CALARCÁ;205-24-;HDA POTOSI VDA POSTOSI;EDEQ;S
30636804;S-1385;RST;-75,68416592;4,445367661;100;CALARCÁ;205-24-;FC LA ESPERANZA VR QUEBRADA NEGRA;EDEQ;S
30636805;S-1643;RST;-75,6772689;4,473847321;100;CALARCÁ;205-24-;VR POTOSI FC TESALIA;EDEQ;S
30636806;S-1338;RS;-75,68850526;4,457573318;100;CALARCÁ;205-24-;VR POTOSI;EDEQ;S
30636807;S-1812;RS;-75,69089356;4,44104819;200;CALARCÁ;205-24-;VDA TRAVESIAS FC LA ESMERALDA;EDEQ;S
30636808;S-1824;RST;-75,66792538;4,445958638;100;CALARCÁ;205-24-;PUESTO DE SALUD QUEBRADA NEGRA;EDEQ;S
30636809;S-2186;RST;-75,65367931;4,472115634;100;CALARCÁ;205-24-;VDA LA PALOMA FCA LA DIVISA;EDEQ;S
30636810;S-934;RST;-75,6764917;4,477061514;100;CALARCÁ;205-24-;VR POTOSI FC DINAMARCA;EDEQ;S
30636811;S-1657;RST;-75,6741391;4,460419876;100;CALARCÁ;205-24-;VDA EL CALABAZO FCA MARGARITAS;EDEQ;S
30636812;S-2248;T;-75,65502377;4,464391459;100;CALARCÁ;205-24-;FCA LA GRANJA VDA LA PALOMA;EDEQ;S
30636813;S-1421;R;-75,70467106;4,445060041;100;CALARCÁ;205-24-;VR LA ALBANIA FC MANUELA;EDEQ;S
30636815;S-937;RST;-75,67891804;4,440210949;100;CALARCÁ;205-24-;VR QUEBRADA N FCA CAJETILLA;EDEQ;S
30636816;S-1638;T;-75,67972869;4,470175285;100;CALARCÁ;205-24-;VR POTOSI FC VILLA MARCELA;EDEQ;S
30636817;S-1656;RST;-75,6577506;4,454439693;100;CALARCÁ;205-24-;FC FINCA EL PORVENIR VEREDA EL CALABAZO;EDEQ;S
30636818;S-1912;RSTN;-75,6596161;4,437027911;100;CALARCÁ;205-24-;VR QUEBRADA NEGRA FC COSTA RICA;EDEQ;S
30636820;S-1260;RST;-75,68778788;4,442448119;100;CALARCÁ;205-24-;VR TRAVESIAS FC LA GRECIA;EDEQ;S
30636821;S-2020;RST;-75,67473097;4,458487261;100;CALARCÁ;205-24-;VR CALABAZO FC LAS MARGARITAS;EDEQ;S
30636822;S-1823;RST;-75,66974061;4,443462444;100;CALARCÁ;205-24-;VDA QUEBRADA NEGRA IGLESIA CASERIO;EDEQ;S
30636823;S-935;RSTN;-75,67739457;4,474550004;100;CALARCÁ;205-24-;VR POTOSI FC TESALIA;EDEQ;S
30636824;S-1771;RST;-75,6763782;4,452333828;100;CALARCÁ;205-24-;FCA LA GUAIRA VDA QUEBRADA NEGRA;EDEQ;S
30636825;S-1804;ST;-75,65024512;4,445841302;100;CALARCÁ;205-24-;VR PENCIL FC LOS PINOS;EDEQ;S
30636826;S-1336;T;-75,67249186;4,486202726;100;CALARCÁ;205-24-;VR LA BELLA;EDEQ;S
30636827;S-1822;RST;-75,67758577;4,438828839;100;CALARCÁ;205-24-;VR QUEBRADA NEGRA FC BOLIVIA;EDEQ;S
30636828;S-1189;RT;-75,67271971;4,485760185;100;CALARCÁ;205-24-;VR LA BELLA;EDEQ;S
30636829;S-2189;RST;-75,67038745;4,473611685;200;CALARCÁ;205-24-;VDA CALABAZO FCA ARABIA;EDEQ;S
30636830;S-1654;RSTN;-75,6619331;4,487010356;100;CALARCÁ;205-24-;VR LA ROCHELA FC LA ROCHELA;EDEQ;S
30636833;S-2064;RSTN;-75,65333659;4,471869067;100;CALARCÁ;205-24-;VR PALOMA FC TESORITO;EDEQ;S
30636834;S-898;RST;-75,68416229;4,445380311;100;CALARCÁ;205-24-;FC LA ESPERANZA VR QUEBRADA NEGRA;EDEQ;S
30636835;S-1641;RN;-75,68532866;4,466431475;100;CALARCÁ;205-24-;FC POTOSI CHIQUITO;EDEQ;S
30636836;S-936;RST;-75,68514098;4,466601982;200;CALARCÁ;205-24-;FC POTOSI;EDEQ;S
30636837;S-1752;RST;-75,67373204;4,483489375;100;CALARCÁ;205-24-;VR LA BELLA FC LA CABANITA;EDEQ;S
30636839;S-2129;ST;-75,65660612;4,438316684;100;CALARCÁ;205-24-;VR VISTA HERMOSA ESC VISTA HERMOSA;EDEQ;S
30636840;S-963;RST;-75,65648028;4,451774842;100;CALARCÁ;205-24-;VR PENCIL  FCA EL EDEN;EDEQ;S
30636841;S-519;RST;-75,69675457;4,437724176;100;CALARCÁ;205-24-;FC SAN FELIPE TRAVESIA;EDEQ;S
30636842;S-2065;RST;-75,65190222;4,471127671;100;CALARCÁ;205-24-;VR PALOMA FC TESORITO;EDEQ;S
30636843;S-1655;RST;-75,65658713;4,484581539;100;CALARCÁ;205-24-;VR LA ROCHELA  FC LA SONADORA;EDEQ;S
30636844;S-2089;RST;-75,70553047;4,456646219;100;CALARCÁ;205-24-;VDA LA ALBANIA FC LA SIERRA;EDEQ;S
30636845;S-1337;RST;-75,67912866;4,470238323;100;CALARCÁ;205-24-;VR POTOSI FC VILLA MARCELA;EDEQ;S
30641597;S-1224;RS;-75,66430646;4,600563045;100;CIRCASIA;303-27-;VR LLANADAS FC LA DIVISA;EDEQ;S
30641598;S-986;RST;-75,73752724;4,576705804;100;CIRCASIA;303-27-;VR LA SIRIA FC LA CABAÑA;EDEQ;S
30641599;S-2075;RSTN;-75,74096265;4,570309654;100;MONTENEGRO;303-27-;CIUDAD ALEGRÍA LAS CAMELIAS;EDEQ;S
30641600;S-736;RST;-75,68437935;4,591225989;100;CIRCASIA;303-27-;VR BUENA VISTA FC LA BONITA;EDEQ;S
30641601;S-771;RST;-75,67160392;4,589588939;100;CIRCASIA;303-27-;VR NARANJAL;EDEQ;S
30641602;S-2024;RST;-75,72061966;4,583856581;100;CIRCASIA;303-27-;FC EL JARDINCITO VD LA CABAÑA;EDEQ;S
30641603;S-1851;RST;-75,67624897;4,589628843;200;CIRCASIA;303-27-;VR LA POLA FC LA PRIMAVERA;EDEQ;S
30641604;S-1717;ST;-75,67166075;4,58909183;100;CIRCASIA;303-27-;INICIO RAMAL FC BUENOS AIRES;EDEQ;S
30641605;S-735;RST;-75,68010645;4,594830159;100;CIRCASIA;303-27-;VR VILLARAZO FC EL DESCANSO;EDEQ;S
30641606;S-478;RST;-75,69161467;4,589361519;100;CIRCASIA;303-27-;VR LA SIRIA HOSTAL PARAISO DEL QUINDIO;EDEQ;S
30641607;S-1327;RST;-75,73603666;4,57742987;200;CIRCASIA;303-27-;FC LA CABA?A VR LA SIRIA;EDEQ;S
30641608;S-900;RSTN;-75,68774707;4,592115833;100;CIRCASIA;303-27-;VR LA SIRIA FCA MARGARITAS;EDEQ;S
30641609;S-1718;RST;-75,73776435;4,576136689;100;MONTENEGRO;303-27-;VR LA FRONTERA ESAQUIN;EDEQ;S
30641610;S-2302;RST;-75,69190126;4,581854866;100;CIRCASIA;303-27-;VR BUENA VISTA FC TIERRA LARANTIA;EDEQ;S
30641611;SR-0014;RST;-75,67288581;4,595620389;100;CIRCASIA;303-27-;VR BARCELONA B FC LA CASTILLA;EDEQ;S
30650816;S-034;RST;-75,68543363;4,543148198;100;ARMENIA;114-23-;CALLE 22  33-25;EDEQ;S
30650817;S-118;RST;-75,69116662;4,54226066;100;ARMENIA;114-23-;BA MONTE BLANCO MZ  B;EDEQ;S
30650818;S-117;RST;-75,69707498;4,542004435;100;ARMENIA;114-23-;BA LA UNIVERSAL MZ 14 CS 1;EDEQ;S
30650819;S-1244;RST;-75,68469129;4,542694736;100;ARMENIA;114-23-;CL 22 32 13;EDEQ;S
30650820;S-1756;RST;-75,68642615;4,543738655;100;ARMENIA;114-23-;CR 35 22 06;EDEQ;S
30650821;S-1757;RST;-75,68648044;4,543613098;100;ARMENIA;114-23-;CR 35 22 10;EDEQ;S
30664710;S-167;RST;-75,69562746;4,524426917;100;ARMENIA;110-26-;CL 48 CR 27;EDEQ;S
30664711;S-949;RST;-75,697786;4,524856859;100;ARMENIA;110-26-;RAMAL B. CALIMA;EDEQ;S
30664712;S-1064;RST;-75,69294764;4,523383026;100;ARMENIA;110-26-;CALLE 48 ACACIAS MNZ 13;EDEQ;S
30664713;S-2185;RST;-75,68210141;4,528611018;100;ARMENIA;110-26-;CL 33 18 33;EDEQ;S
30664716;S-151;RST;-75,68654755;4,524129212;100;ARMENIA;110-26-;CL 44 43 89;EDEQ;S
30679613;S-2255;RST;-75,63909377;4,535869894;100;CALARCÁ;208-24-;CR 25 CL 47 ZAGUANES;EDEQ;S
30679614;S-290;RST;-75,63903164;4,535855305;200;CALARCÁ;208-24-;CR 25 CL 47 ZAGUANES;EDEQ;S
30679616;S-792;RST;-75,63860807;4,533223737;100;CALARCÁ;208-24-;CL 44 # 23 -19;EDEQ;S
30679618;SR-0003;RST;-75,61019503;4,521227047;100;CALARCÁ;208-24-;VR SAN RAFAEL FC EL MIRADOR;EDEQ;S
30679619;S-987;RST;-75,6165575;4,545339298;100;CALARCÁ;208-24-;CERRO EL CASTILLO;EDEQ;S
30679620;S-996;RST;-75,63231954;4,531332577;100;CALARCÁ;208-24-;B. LOS TANQUES CRA 16 # 45-50;EDEQ;S
30679621;S-1146;RST;-75,63862002;4,533101717;100;CALARCÁ;208-24-;CLL 44 # 23-19;EDEQ;S
30679622;SR-0009;RST;-75,63760913;4,538623305;200;CALARCÁ;208-24-;BARRIO LA PRADERA;EDEQ;S
30679624;S-990;RST;-75,62702695;4,543147471;100;CALARCÁ;208-24-;DVA LA FLORESTA FCA MORELIA;EDEQ;S
30679625;S-1185;RST;-75,63599118;4,527767219;200;CALARCÁ;208-24-;CR 17  37 - 01;EDEQ;S
30679626;S-292;RST;-75,63411031;4,531368713;200;CALARCÁ;208-24-;CL 44 CR 17;EDEQ;S
30679627;S-1707;RST;-75,63983405;4,536429159;100;CALARCÁ;208-24-;VIA  CHAG  ENSEG ESTADIO;EDEQ;S
30679628;S-1817;RST;-75,62620451;4,52964332;100;CALARCÁ;208-24-;VR CEBOLLAL FC EL CEBOLLAL;EDEQ;S
30679630;S-2311;RST;-75,6308575;4,523508844;200;CALARCÁ;208-24-;VDA LA PRIMAVERA ANTIGUO MATADERO;EDEQ;S
30679631;S-1818;RST;-75,62920778;4,529677387;200;CALARCÁ;208-24-;VDA CEBOLLAL FCA MIRADOR;EDEQ;S
30679632;SR-0010;RST;-75,62325061;4,525645203;200;CALARCÁ;208-24-;VR CEBOLLAL FC LA HOLANDA;EDEQ;S
30679633;S-1157;RST;-75,63908778;4,538887528;100;CALARCÁ;208-24-;CR 27 48C 23 LC;EDEQ;S
30679634;S-988;RT;-75,61640234;4,544999976;100;CALARCÁ;208-24-;CERRO EL CASTILLO;EDEQ;S
30679636;S-294;RST;-75,63783687;4,529183903;100;CALARCÁ;208-24-;CRA 20 CALLE 39;EDEQ;S
30679637;SR-0002;RST;-75,60952892;4,514285555;100;CALARCÁ;208-24-;VR SAN RAFAEL FC EL ROBLECITO;EDEQ;S
30679638;S-989;RSTN;-75,61612191;4,544684806;100;CALARCÁ;208-24-;CERRO DEL CASTILLO;EDEQ;S
30679639;S-2177;RST;-75,63914848;4,529632208;100;CALARCÁ;208-24-;CRA 22 CLL 39  ESQ;EDEQ;S
30689130;S-1284;RSTN;-75,71151808;4,471089792;100;ARMENIA;205-22-;VDA EL CAIMO FC NORMADÍA;EDEQ;S
30689131;S-346;RST;-75,71515915;4,466663092;100;ARMENIA;205-22-;VR CAIMO HACIA FC EL BOSQUE;EDEQ;S
30689132;S-2048;RST;-75,71786831;4,487785169;100;ARMENIA;205-22-;VR MARMATO FC MARMATO;EDEQ;S
30689133;S-356;RST;-75,70268177;4,492044544;100;ARMENIA;205-22-;FINCA CORDOBA VDA MARMATO;EDEQ;S
30689134;S-2198;RST;-75,72995244;4,465813585;200;ARMENIA;205-22-;KM 2.2 VIA ARMENIA EL CAIMO CND PORTOFINO;EDEQ;S
30689135;S-1527;RST;-75,71538785;4,489528073;100;ARMENIA;205-22-;VDA MARMATO FCA MARMATO;EDEQ;S
30689136;S-1285;RT;-75,71119845;4,471983307;100;ARMENIA;205-22-;VDA EL CAIMO ANCIANATO - TIGO;EDEQ;S
30689139;S-1769;RST;-75,72705653;4,468700338;100;ARMENIA;205-22-;VR CAIMO COND. POONTEVEDRA;EDEQ;S
30689140;S-2250;RST;-75,70608757;4,4844307;200;ARMENIA;205-22-;KM 1 VIA AL CAIMO BODEGAS IBG;EDEQ;S
30689141;S-1203;RST;-75,70927994;4,476733243;100;ARMENIA;205-22-;VDA EL CAIMO FCAS EL COFRE;EDEQ;S
30689142;S-1235;RST;-75,71387094;4,485628738;100;ARMENIA;205-22-;VR MARMATO FC LA LINDA;EDEQ;S
30689143;S-2242;RST;-75,70406511;4,488364947;100;ARMENIA;205-22-;VR EL CAIMO FRENTE A LA URB NUEVO HORIZONTE;EDEQ;S
30689144;S-1546;RST;-75,74676209;4,465778394;100;ARMENIA;205-22-;VR MARMATO FC LA ESTRELLITA;EDEQ;S
30689146;S-1594;RS;-75,75123241;4,465946543;100;ARMENIA;205-22-;VR MARMATO FC SAN JUAN;EDEQ;S
30689147;S-1593;RST;-75,74964568;4,465690521;100;ARMENIA;205-22-;VR MARMATO FC LA ESTRELLITA;EDEQ;S
30689148;S-431;RST;-75,72353346;4,484385618;100;ARMENIA;205-22-;ESC ATANASIO GIRARDOT VR MARMATO;EDEQ;S
30689149;S-1545;RST;-75,74654562;4,4659335;200;ARMENIA;205-22-;VR MARMATO FC LA ESTRELLITA;EDEQ;S
30689152;S-2139;RST;-75,73453841;4,460836102;100;ARMENIA;205-22-;VR GOLCONDA FC LA FRANCIA;EDEQ;S
30689153;S-2141;RT;-75,74235239;4,457512581;100;ARMENIA;205-22-;FC LA FRANCIA VDA GOLCONDA;EDEQ;S
30689154;S-352;RST;-75,71627049;4,473106587;100;ARMENIA;205-22-;VDA EL CAIMO FC LA ESMERALDA;EDEQ;S
30689155;S-2140;RST;-75,7394151;4,458428464;100;ARMENIA;205-22-;FC LA MACARENA VR GOLCONDA;EDEQ;S
30689156;S-347;RST;-75,71186204;4,470684514;100;ARMENIA;205-22-;URB CAMPESTRE EL BOSQUE;EDEQ;S
30689157;S-2130;RST;-75,71510861;4,473033902;100;ARMENIA;205-22-;LINDARAJA II  VIA AL CAIMO;EDEQ;S
30689158;S-739;RST;-75,71588364;4,465546121;100;ARMENIA;205-22-;VR CAIMO HACIA FC EL RANCHO;EDEQ;S
30689159;S-1544;RST;-75,74139989;4,46963712;200;ARMENIA;205-22-;VR MARMATO FC EL PLACER;EDEQ;S
30692223;S-973;RST;-75,75517396;4,632490974;100;QUIMBAYA;304-26-;VDA MESA BAJA FCA TOPACIO;EDEQ;S
30692224;S-1743;RSTN;-75,81492989;4,64949723;100;QUIMBAYA;304-26-;VR JAZMIN FCA EL JAZMIN;EDEQ;S
30692226;S-1740;RST;-75,81197158;4,640217663;100;QUIMBAYA;304-26-;VR JAZMIN FC EL DIAMANTE;EDEQ;S
30692227;S-750;RST;-75,79471283;4,640839864;100;QUIMBAYA;304-26-;VR JAZMIN FC JARDIN;EDEQ;S
30692228;SR-0022;RST;-75,80192798;4,642128842;100;QUIMBAYA;304-26-;VR EL JAZMIN PTO DE SALUD;EDEQ;S
30692230;S-974;RST;-75,7850124;4,637527824;100;QUIMBAYA;304-26-;VR JAZMIN HDA CORCEGA;EDEQ;S
30692231;S-1845;RST;-75,75484487;4,643715287;100;QUIMBAYA;304-26-;VR MESA BAJA FC VILLA AURITA;EDEQ;S
30692233;S-2271;RST;-75,80663548;4,641334534;100;QUIMBAYA;304-26-;FCA EL FORTIN VDA EL JAZMIN;EDEQ;S
30692234;S-1111;RST;-75,77071212;4,64986917;200;QUIMBAYA;304-26-;VR ARAUCA FC BELGICA;EDEQ;S
30692235;S-783;RSTN;-75,80905622;4,646669747;100;QUIMBAYA;304-26-;VR JAZMIN FC HOLANDA;EDEQ;S
30692236;S-785;RST;-75,77569277;4,637755654;100;QUIMBAYA;304-26-;VR JAZMIN MOTEL PARAISO CONDE;EDEQ;S
30692237;S-1956;RST;-75,80651796;4,654081059;100;QUIMBAYA;304-26-;FC SAN ALFONSO VDA GUAYMARAL;EDEQ;S
30692238;S-1724;RST;-75,80038202;4,641513969;100;QUIMBAYA;304-26-;VR JAZMIN FC LA ILUSION;EDEQ;S
30692239;S-784;RST;-75,78468332;4,641588349;100;QUIMBAYA;304-26-;VR JAZMIN FC MALABAR;EDEQ;S
30692240;S-2120;RSTN;-75,81680485;4,649749139;100;QUIMBAYA;304-26-;VDA JAZMÍN FONDA CAMPO ALEGRE;EDEQ;S
30692241;S-2078;RT;-75,77007679;4,649927656;100;QUIMBAYA;304-26-;VR ARAUCA FC BELGICA;EDEQ;S
30700478;S-1454;RST;-75,68171238;4,540235378;100;ARMENIA;109-20-;BA SAN JOSE CR 27A 22 30;EDEQ;S
30700479;S-1487;RST;-75,67299112;4,540738217;200;ARMENIA;109-20-;CL 12 22 01;EDEQ;S
30700480;S-1468;RST;-75,67667053;4,539182306;100;ARMENIA;109-20-;CL 18 23 40;EDEQ;S
30700481;S-760;RST;-75,67862585;4,543598749;100;ARMENIA;109-20-;RAMAL BA JUBILEO;EDEQ;S
30700483;S-042;RST;-75,68546788;4,540327641;200;ARMENIA;109-20-;CL 30 27 44 BA QUINDIO;EDEQ;S
30700484;S-1453;RST;-75,6828248;4,540308053;100;ARMENIA;109-20-;BA SAN JOSE CL 22 27A 18;EDEQ;S
30700487;S-902;RST;-75,68017227;4,539119508;200;ARMENIA;109-20-;CL 22 CON CR 25;EDEQ;S
30700488;S-1618;RST;-75,68418131;4,540406512;100;ARMENIA;109-20-;CLL 27 CRA 27;EDEQ;S
30700490;S-2246;RST;-75,68172527;4,539625173;100;ARMENIA;109-20-;PARQUE RESIDENCIAL SAN JOSE;EDEQ;S
30709657;S-629;RST;-75,77704115;4,522745411;100;MONTENEGRO;316-22;VR PUEBLO TAPAO FCA SAN MIGUEL;EDEQ;S
30709658;S-1343;RST;-75,78192789;4,541600101;100;MONTENEGRO;316-22;VR CANTORES FC LA FLORIDA;EDEQ;S
30709659;S-1866;RST;-75,77497114;4,535113412;100;MONTENEGRO;316-22;VR BARAYA FC EL CLAVO;EDEQ;S
30709660;S-2054;RST;-75,77059235;4,547855681;100;MONTENEGRO;316-22;FC HOTEL EL EDEN VD CANTORES;EDEQ;S
30709662;S-2263;RS;-75,81289327;4,528922023;100;MONTENEGRO;316-22;VR BARAYA FC NEGRITA;EDEQ;S
30709663;S-1712;RST;-75,770532;4,542867775;100;MONTENEGRO;316-22;VR BARAYA FC LA PERLA;EDEQ;S
30709664;S-1166;RST;-75,78272166;4,541050945;100;MONTENEGRO;316-22;VR CANTORES FC PORVENIR;EDEQ;S
30709665;S-647;RST;-75,77870256;4,544176332;100;MONTENEGRO;316-22;VR CANTORES FC EL IMPERIO;EDEQ;S
30709667;S-2233;RST;-75,79319698;4,538182996;200;MONTENEGRO;316-22;VDA CANTORES FCA CASONA EL IMPERIO;EDEQ;S
30709670;S-526;STN;-75,7757835;4,528218561;100;MONTENEGRO;316-22;VR PUEBLO TAPAO FC ALTO BONITO;EDEQ;S
30709671;S-691;RST;-75,77256004;4,539796691;100;MONTENEGRO;316-22;VR LA ESPERANZA FC EL ESPEJO;EDEQ;S
30709674;S-1184;RST;-75,78941523;4,535027306;100;MONTENEGRO;316-22;VR ESPERANZA FC LAS PALMAS;EDEQ;S
30709675;S-1944;S;-75,79639399;4,533241535;200;MONTENEGRO;316-22;FINCA BERLIN VDA LA ESPERANZA;EDEQ;S
30709676;S-782;RST;-75,77013379;4,543869672;100;MONTENEGRO;316-22;VR BARAYA HOTEL LAS VEGAS;EDEQ;S
30709677;S-2015;T;-75,80410636;4,531283399;200;MONTENEGRO;316-22;VR LA ESPERANZA FC LA ESPERANZA;EDEQ;S
30720528;S-1444;RST;-75,71095214;4,527568776;100;ARMENIA;114-24-;PTO KIOSCO ENTRADA MERCAR;EDEQ;S
30720529;S-277;RST;-75,73226342;4,533068505;100;ARMENIA;114-24-;VR PANTANILLO FC BUENOS AIRES;EDEQ;S
30720530;S-272;RST;-75,71616042;4,527940565;100;ARMENIA;114-24-;MOTEL PARADISE VIA MONTENEGRO;EDEQ;S
30720531;S-1616;RST;-75,71315756;4,529898188;100;ARMENIA;114-24-;BR LA GRECIA MZ 24 CS 1;EDEQ;S
30720533;S-058;RST;-75,71553128;4,528478788;100;ARMENIA;114-24-;HACIA LA CECILIA III ETAPA;EDEQ;S
30720534;S-1458;RST;-75,70829943;4,528846597;200;ARMENIA;114-24-;BA VILLA HERMOSA MZ B CS 4;EDEQ;S
30720536;S-204;RSTN;-75,71214475;4,525240378;200;ARMENIA;114-24-;BA GIBRALTAR MZ 21 CS 2;EDEQ;S
30720537;S-1599;RST;-75,70738622;4,532048831;100;ARMENIA;114-24-;BA ADIELA  MZ 18 AL FRENTE;EDEQ;S
30720538;S-1959;RST;-75,71398791;4,527628768;100;ARMENIA;114-24-;MERCAR BLQ D;EDEQ;S
30720539;S-273;RST;-75,72243922;4,528869707;100;ARMENIA;114-24-;VD EL MESON CERCA FINCA GUAYAC;EDEQ;S
30720540;S-1084;RST;-75,70432348;4,531958017;100;ARMENIA;114-24-;BA LA ADIELA MZ 7 CS 14;EDEQ;S
30720541;S-275;RST;-75,72176856;4,528609884;200;ARMENIA;114-24-;VDA EL MESON FC GUAYACANES;EDEQ;S
30720542;S-234;RST;-75,7218615;4,528531406;100;ARMENIA;114-24-;VDA EL MESON FC GUAYACANES;EDEQ;S
30720543;S-2262;RSTN;-75,71233768;4,525161186;100;ARMENIA;114-24-;PARA LOS BLOQUES DE GIBRALTAR;EDEQ;S
30720545;S-235;RST;-75,72981337;4,530478302;100;ARMENIA;114-24-;VR MESON FC LAS MERCEDES;EDEQ;S
30720524;S-1709;RST;-75,71229133;4,533515486;100;ARMENIA;114-24-;BA LAS COLINAS MZ 2 SE 3 CS 53;EDEQ;S
30736390;S-1893;RST;-75,66414284;4,530166229;100;CALARCÁ;109-29-;VR LA MARIA BODEGA 8;EDEQ;S
30736391;S-1860;RST;-75,6608162;4,53931126;100;ARMENIA;208-28-;FRENTE A HOME CENTER;EDEQ;S
30736392;S-1330;RST;-75,66473318;4,532329847;100;ARMENIA;109-29-;LA FLORIDA RAMAL FRIGO CAFE;EDEQ;S
30736393;S-1935;RST;-75,66812007;4,530616999;100;ARMENIA;109-29-;AVDA CENTENARIO BLQ MARIA CRISTINA;EDEQ;S
30736395;S-982;RT;-75,666954;4,531279186;100;ARMENIA;109-29-;AV CENTENARIO URB MA CRISTINA;EDEQ;S
30736396;S-1324;RST;-75,66668381;4,53633766;100;ARMENIA;109-29-;CL 10 11 06 ESQ;EDEQ;S
30736397;S-2280;RST;-75,66267547;4,53104117;100;CALARCÁ;109-29-;BODEGA 2 SECTOR LA MARIA UNIPROQUIM;EDEQ;S
30736398;S-2159;RST;-75,6581091;4,543469006;100;ARMENIA;208-28-;AVD.CENTENARIO BELMONTE PLAZA;EDEQ;S
30736399;S-922;RST;-75,67015591;4,530183424;100;ARMENIA;109-29-;PUENTE LA FLORIDA CURVA DEL DIABLO;EDEQ;S
30736402;S-1334;RT;-75,66474754;4,532359708;100;ARMENIA;109-29-;LA FLORIDA RAMAL BUENOS AIRES BAJO;EDEQ;S
30736403;S-2259;RST;-75,66200659;4,542804092;600;ARMENIA;208-28-;CLL 1 # 12-30 ARMENIA;EDEQ;S
30736404;S-1535;RST;-75,66723522;4,539067131;100;ARMENIA;109-29-;CR 15 # 8-20;EDEQ;S
30736406;S-1273;RST;-75,66875141;4,52930376;100;ARMENIA;109-29-;TORRES DEL RIO;EDEQ;S
30736407;S-2254;RST;-75,66657565;4,536371801;200;ARMENIA;109-29-;CRA 19 # 22N - 124 E/BRITANNIA;EDEQ;S
30736408;S-1469;RS;-75,66715023;4,529504941;100;ARMENIA;109-29-;CL 19 4 35 A PATIO BONITO BAJO;EDEQ;S
30748669;S-420;RST;-75,72604942;4,512626877;100;ARMENIA;111-24-;FC LA DULCERA VR PTO ESPEJO;EDEQ;S
30748670;S-1782;RST;-75,785862;4,510766183;100;MONTENEGRO;111-24-;AV 30 DE NOVIEMBRE 12-62 P TAPAO;EDEQ;S
30748671;S-1871;RST;-75,76314259;4,510181009;100;ARMENIA;111-24-;VDA LA REVANCHA HDA PINARES;EDEQ;S
30748672;S-623;RST;-75,83617483;4,51431336;100;MONTENEGRO;111-24-;VR BUENOS AIRES FC LA BLANQUITA;EDEQ;S
30748673;S-522;RST;-75,79398499;4,502614928;100;MONTENEGRO;111-24-;VR LA CEIBA FC LA ESTRELLA;EDEQ;S
30748675;S-626;T;-75,86009925;4,516159558;100;MONTENEGRO;111-24-;VR URANIA FC GIRONDA;EDEQ;S
30748677;S-2208;RST;-75,73274559;4,509092714;100;ARMENIA;111-24-;FC TOPACIO VR DULCERITA;EDEQ;S
30748678;S-1526;ST;-75,77510296;4,50628345;100;ARMENIA;111-24-;VR LA REVANCHA FC EL DIAMANTE;EDEQ;S
30748680;S-2294;RST;-75,82363966;4,517652252;100;MONTENEGRO;111-24-;VDA EL NARANJAL FCA LAS VERANERAS;EDEQ;S
30748681;S-2206;RST;-75,72471828;4,513434427;100;ARMENIA;111-24-;FC LA DULCERA VR PTO ESPEJO;EDEQ;S
30748683;S-424;T;-75,74657196;4,514859114;100;ARMENIA;111-24-;RAMAL FC EL PORVENIR;EDEQ;S
30748684;S-1880;T;-75,76889755;4,50899625;100;ARMENIA;111-24-;VR LA REVANCHA FC LA FLORESTA;EDEQ;S
